Symbol,Name,Sector,Industry
NVDA,NVIDIA Corporation Common Stock,Technology,Semiconductors
GOOGL,Alphabet Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
GOOG,Alphabet Inc. Class C Capital Stock,Technology,Computer Software: Programming Data Processing
AAPL,Apple Inc. Common Stock,Technology,Computer Manufacturing
MSFT,Microsoft Corporation Common Stock,Technology,Computer Software: Prepackaged Software
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,Technology,Semiconductors
SPCX,Space Exploration Technologies Corp. Class A Common Stock,Technology,Computer Software: Programming Data Processing
AVGO,Broadcom Inc. Common Stock,Technology,Semiconductors
TSLA,Tesla Inc. Common Stock,Industrials,Auto Manufacturing
META,Meta Platforms Inc. Class A Common Stock,Technology,Computer Software: Programming Data Processing
MU,Micron Technology Inc. Common Stock,Technology,Semiconductors
BRK/A,Berkshire Hathaway Inc.,Others,Others
BRK/B,Berkshire Hathaway Inc.,Others,Others
LLY,Eli Lilly and Company Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
WMT,Walmart Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
JPM,JP Morgan Chase & Co. Common Stock,Finance,Major Banks
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
ASML,ASML Holding N.V. New York Registry Shares,Technology,Industrial Machinery/Components
INTC,Intel Corporation Common Stock,Technology,Semiconductors
V,Visa Inc.,Consumer Discretionary,Business Services
GOOGM,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series A Mandatory Convertible Preferred Stock,Technology,Computer Software: Programming Data Processing
GOOGN,Alphabet Inc. Depositary Shares representing a 1/20th Interest in a Share of Series B Mandatory Convertible Preferred Stock,Technology,Computer Software: Programming Data Processing
JNJ,Johnson & Johnson Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AZN,AstraZeneca PLC Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
XOM,Exxon Mobil Corporation Common Stock,Energy,Integrated oil Companies
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
LRCX,Lam Research Corporation Common Stock,Technology,Industrial Machinery/Components
CAT,Caterpillar Inc. Common Stock,Industrials,Construction/Ag Equipment/Trucks
